Commission,Category,Geography,Date,Evaluation,Resignations,CumeResignations,Population
Yes,Sales,North America,09/30/12,A,17,151,76
Yes,Sales,North America,10/31/12,A,16,167,81
Yes,Sales,North America,11/30/12,A,12,179,67
Yes,Sales,North America,12/31/12,A,9,188,71
Yes,Sales,North America,01/31/13,A,5,5,67
Yes,Sales,North America,02/28/13,A,5,10,55
Yes,Sales,North America,03/31/13,A,6,16,60
Yes,Sales,North America,04/30/13,A,7,23,51
Yes,Sales,North America,05/31/13,A,7,30,51
Yes,Sales,North America,06/30/13,A,9,39,55
Yes,Sales,North America,07/31/13,A,10,49,55
Yes,Sales,North America,08/31/13,A,6,55,46
Yes,Sales,North America,09/30/13,A,9,64,62
Yes,Sales,North America,10/31/13,A,6,70,51
Yes,Sales,North America,11/30/13,A,5,75,46
Yes,Sales,North America,12/31/13,A,4,79,46
Yes,Sales,South America,01/31/10,A,4,4,37
Yes,Sales,South America,02/28/10,A,4,8,35
Yes,Sales,South America,03/31/10,A,4,12,30
Yes,Sales,South America,04/30/10,A,5,17,25
Yes,Sales,South America,05/31/10,A,4,21,25
Yes,Sales,South America,06/30/10,A,7,28,37
Yes,Sales,South America,07/31/10,A,7,35,30
Yes,Sales,South America,08/31/10,A,5,40,28
Yes,Sales,South America,09/30/10,A,6,46,32
Yes,Sales,South America,10/31/10,A,5,51,35
Yes,Sales,South America,11/30/10,A,4,55,32
Yes,Sales,South America,12/31/10,A,4,59,41
Yes,Sales,South America,01/31/11,A,2,2,21
Yes,Sales,South America,02/28/11,A,3,5,23
Yes,Sales,South America,03/31/11,A,2,7,18
Yes,Sales,South America,04/30/11,A,4,11,21
Yes,Sales,South America,05/31/11,A,3,14,21
Yes,Sales,South America,06/30/11,A,4,18,18
Yes,Sales,South America,07/31/11,A,5,23,21
Yes,Sales,South America,08/31/11,A,4,27,21
Yes,Sales,South America,09/30/11,A,3,30,14
Yes,Sales,South America,10/31/11,A,3,33,21
Yes,Sales,South America,11/30/11,A,3,36,18
Yes,Sales,South America,12/31/11,A,2,38,14
Yes,Sales,South America,01/31/12,A,2,2,9
Yes,Sales,South America,02/28/12,A,1,3,7
Yes,Sales,South America,03/31/12,A,1,4,2
Yes,Sales,South America,04/30/12,A,2,6,7
Yes,Sales,South America,05/31/12,A,2,8,7
Yes,Sales,South America,06/30/12,A,3,11,9
Yes,Sales,South America,07/31/12,A,2,13,5
Yes,Sales,South America,08/31/12,A,2,15,5
Yes,Sales,South America,09/30/12,A,1,16,2
Yes,Sales,South America,10/31/12,A,1,17,5
Yes,Sales,South America,11/30/12,A,1,18,5
Yes,Sales,South America,12/31/12,A,1,19,2
Yes,Sales,South America,01/31/13,A,1,1,9
Yes,Sales,South America,02/28/13,A,1,2,9
Yes,Sales,South America,03/31/13,A,1,3,5
Yes,Sales,South America,04/30/13,A,1,4,7
Yes,Sales,South America,05/31/13,A,1,5,5
Yes,Sales,South America,06/30/13,A,1,6,5
Yes,Sales,South America,07/31/13,A,2,8,7
Yes,Sales,South America,08/31/13,A,1,9,5
Yes,Sales,South America,09/30/13,A,1,10,2
Yes,Sales,South America,10/31/13,A,1,11,2
Yes,Sales,South America,11/30/13,A,1,12,5
Yes,Sales,South America,12/31/13,A,1,13,2
Yes,Sales,Asia,01/31/10,A,32,32,354
Yes,Sales,Asia,02/28/10,A,27,59,267
Yes,Sales,Asia,03/31/10,A,30,89,262
Yes,Sales,Asia,04/30/10,A,43,132,267
Yes,Sales,Asia,05/31/10,A,38,170,253
Yes,Sales,Asia,06/30/10,A,46,216,248
Yes,Sales,Asia,07/31/10,A,53,269,251
Yes,Sales,Asia,08/31/10,A,39,308,242
Yes,Sales,Asia,09/30/10,A,38,346,237
Yes,Sales,Asia,10/31/10,A,34,380,246
Yes,Sales,Asia,11/30/10,A,29,409,230
Yes,Sales,Asia,12/31/10,A,22,431,239
Yes,Sales,Asia,01/31/11,A,19,19,225
Yes,Sales,Asia,02/28/11,A,22,41,230
Yes,Sales,Asia,03/31/11,A,26,67,239
Yes,Sales,Asia,04/30/11,A,36,103,237
Yes,Sales,Asia,05/31/11,A,32,135,223
Yes,Sales,Asia,06/30/11,A,40,175,228
Yes,Sales,Asia,07/31/11,A,40,215,200
Yes,Sales,Asia,08/31/11,A,37,252,244
Yes,Sales,Asia,09/30/11,A,37,289,244
Yes,Sales,Asia,10/31/11,A,31,320,242
Yes,Sales,Asia,11/30/11,A,24,344,200
Yes,Sales,Asia,12/31/11,A,9,353,106
Yes,Sales,Asia,01/31/12,A,11,11,85
Yes,Sales,Asia,02/28/12,A,13,24,90
Yes,Sales,Asia,03/31/12,A,14,38,85
Yes,Sales,Asia,04/30/12,A,20,58,90
Yes,Sales,Asia,05/31/12,A,18,76,87
Yes,Sales,Asia,06/30/12,A,23,99,90
Yes,Sales,Asia,07/31/12,A,21,120,74
Yes,Sales,Asia,08/31/12,A,18,138,81
Yes,Sales,Asia,09/30/12,A,16,154,71
Yes,Sales,Asia,10/31/12,A,15,169,78
Yes,Sales,Asia,11/30/12,A,15,184,83
Yes,Sales,Asia,12/31/12,A,11,195,85
Yes,Sales,Asia,01/31/13,A,6,6,78
Yes,Sales,Asia,02/28/13,A,7,13,83
Yes,Sales,Asia,03/31/13,A,8,21,78
Yes,Sales,Asia,04/30/13,A,9,30,69
Yes,Sales,Asia,05/31/13,A,9,39,69
Yes,Sales,Asia,06/30/13,A,12,51,78
Yes,Sales,Asia,07/31/13,A,13,64,71
Yes,Sales,Asia,08/31/13,A,9,73,69
Yes,Sales,Asia,09/30/13,A,9,82,67
Yes,Sales,Asia,10/31/13,A,7,89,62
Yes,Sales,Asia,11/30/13,A,7,96,64
Yes,Sales,Asia,12/31/13,A,5,101,69
Yes,Sales,Europe,01/31/10,A,9,9,97
Yes,Sales,Europe,02/28/10,A,9,18,85
Yes,Sales,Europe,03/31/10,A,9,27,78
Yes,Sales,Europe,04/30/10,A,14,41,83
Yes,Sales,Europe,05/31/10,A,12,53,81
Yes,Sales,Europe,06/30/10,A,15,68,81
Yes,Sales,Europe,07/31/10,A,15,83,69
Yes,Sales,Europe,08/31/10,A,14,97,83
Yes,Sales,Europe,09/30/10,A,12,109,74
Yes,Sales,Europe,10/31/10,A,11,120,78
Yes,Sales,Europe,11/30/10,A,9,129,71
Yes,Sales,Europe,12/31/10,A,6,135,64
Yes,Sales,Europe,01/31/11,A,6,6,71
Yes,Sales,Europe,02/28/11,A,6,12,58
Yes,Sales,Europe,03/31/11,A,6,18,55
Yes,Sales,Europe,04/30/11,A,10,28,60
Yes,Sales,Europe,05/31/11,A,8,36,51
Yes,Sales,Europe,06/30/11,A,7,43,39
Yes,Sales,Europe,07/31/11,A,11,54,53
Yes,Sales,Europe,08/31/11,A,9,63,55
Yes,Sales,Europe,09/30/11,A,10,73,60
Yes,Sales,Europe,10/31/11,A,6,79,41
Yes,Sales,Europe,11/30/11,A,6,85,48
Yes,Sales,Europe,12/31/11,A,4,89,46
Yes,Sales,Europe,01/31/12,A,5,5,35
Yes,Sales,Europe,02/28/12,A,5,10,32
Yes,Sales,Europe,03/31/12,A,5,15,28
Yes,Sales,Europe,04/30/12,A,8,23,32
Yes,Sales,Europe,05/31/12,A,6,29,28
Yes,Sales,Europe,06/30/12,A,6,35,23
Yes,Sales,Europe,07/31/12,A,8,43,25
Yes,Sales,Europe,08/31/12,A,6,49,23
Yes,Sales,Europe,09/30/12,A,6,55,23
Yes,Sales,Europe,10/31/12,A,5,60,25
Yes,Sales,Europe,11/30/12,A,6,66,30
Yes,Sales,Europe,12/31/12,A,4,70,28
No,Development,Africa,01/31/13,A,7,7,99
No,Development,Africa,02/28/13,A,8,15,92
No,Development,Africa,03/31/13,A,9,24,99
No,Development,Africa,04/30/13,A,13,37,99
No,Development,Africa,05/31/13,A,12,49,94
No,Development,Africa,06/30/13,A,15,64,99
No,Development,Africa,07/31/13,A,18,82,101
No,Development,Africa,08/31/13,A,15,97,108
No,Development,Africa,09/30/13,A,15,112,108
No,Development,Africa,10/31/13,A,11,123,92
No,Development,Africa,11/30/13,A,9,132,85
No,Development,Africa,12/31/13,A,6,138,81
No,Development,North America,01/31/10,A,8,8,81
No,Development,North America,02/28/10,A,8,16,76
No,Development,North America,03/31/10,A,10,26,81
No,Development,North America,04/30/10,A,13,39,81
No,Development,North America,05/31/10,A,12,51,81
No,Development,North America,06/30/10,A,15,66,81
No,Development,North America,07/31/10,A,18,84,83
No,Development,North America,08/31/10,A,14,98,85
No,Development,North America,09/30/10,A,14,112,85
No,Development,North America,10/31/10,A,14,126,101
No,Development,North America,11/30/10,A,13,139,104
No,Development,North America,12/31/10,A,9,148,101
No,Development,North America,01/31/11,A,6,6,69
No,Development,North America,02/28/11,A,7,13,67
No,Development,North America,03/31/11,A,8,21,69
No,Development,North America,04/30/11,A,11,32,67
No,Development,North America,05/31/11,A,15,47,106
No,Development,North America,06/30/11,A,19,66,106
No,Development,North America,07/31/11,A,24,90,117
No,Development,North America,08/31/11,A,19,109,120
No,Development,North America,09/30/11,A,19,128,122
No,Development,North America,10/31/11,A,15,143,113
No,Development,North America,11/30/11,A,15,158,124
No,Development,North America,12/31/11,A,11,169,124
No,Development,North America,01/31/12,A,19,19,147
No,Development,North America,02/28/12,A,21,40,147
No,Development,North America,03/31/12,A,25,65,156
No,Development,North America,04/30/12,A,46,111,207
No,Development,North America,05/31/12,A,44,155,216
No,Development,North America,06/30/12,A,58,213,228
No,Development,North America,07/31/12,A,78,291,274
No,Development,North America,08/31/12,A,64,355,290
No,Development,North America,09/30/12,A,65,420,294
No,Development,North America,10/31/12,A,56,476,294
No,Development,North America,11/30/12,A,50,526,290
No,Development,North America,12/31/12,A,36,562,288
No,Development,North America,01/31/13,A,18,18,253
No,Development,North America,02/28/13,A,22,40,267
No,Development,North America,03/31/13,A,25,65,267
No,Development,North America,04/30/13,A,35,100,262
No,Development,North America,05/31/13,A,33,133,267
No,Development,North America,06/30/13,A,40,173,262
No,Development,North America,07/31/13,A,44,217,258
No,Development,North America,08/31/13,A,33,250,248
No,Development,North America,09/30/13,A,35,285,262
No,Development,North America,10/31/13,A,30,315,265
No,Development,North America,11/30/13,A,30,345,299
No,Development,North America,12/31/13,A,21,366,292
No,Development,South America,01/31/10,A,4,4,39
No,Development,South America,02/28/10,A,1,5,5
No,Development,South America,03/31/10,A,1,6,5
No,Development,South America,04/30/10,A,2,8,7
No,Development,South America,05/31/10,A,2,10,7
No,Development,South America,06/30/10,A,2,12,7
No,Development,South America,07/31/10,A,2,14,9
No,Development,South America,08/31/10,A,2,16,9
No,Development,South America,09/30/10,A,2,18,9
No,Development,South America,10/31/10,A,2,20,9
No,Development,South America,11/30/10,A,2,22,9
No,Development,South America,12/31/10,A,1,23,9
No,Development,South America,01/31/11,A,3,3,25
No,Development,South America,02/28/11,A,3,6,23
No,Development,South America,03/31/11,A,3,9,23
No,Development,South America,04/30/11,A,4,13,25
No,Development,South America,05/31/11,A,4,17,25
No,Development,South America,06/30/11,A,5,22,25
No,Development,South America,07/31/11,A,9,31,41
No,Development,South America,08/31/11,A,7,38,41
No,Development,South America,09/30/11,A,4,42,25
No,Development,South America,10/31/11,A,4,46,28
No,Development,South America,11/30/11,A,4,50,30
No,Development,South America,12/31/11,A,3,53,30
No,Development,South America,01/31/12,A,10,10,74
No,Development,South America,02/28/12,A,11,21,74
No,Development,South America,03/31/12,A,12,33,74
No,Development,South America,04/30/12,A,69,102,311
No,Development,South America,05/31/12,A,63,165,306
No,Development,South America,06/30/12,A,77,242,304
No,Development,South America,07/31/12,A,88,330,308
No,Development,South America,08/31/12,A,68,398,308
No,Development,South America,09/30/12,A,69,467,313
No,Development,South America,10/31/12,A,59,526,313
No,Development,South America,11/30/12,A,54,580,313
No,Development,South America,12/31/12,A,39,619,313
No,Development,South America,01/31/13,A,20,20,278
No,Development,South America,02/28/13,A,23,43,276
No,Development,South America,03/31/13,A,26,69,278
No,Development,South America,04/30/13,A,37,106,283
No,Development,South America,05/31/13,A,34,140,281
No,Development,South America,06/30/13,A,43,183,281
No,Development,South America,07/31/13,A,49,232,285
No,Development,South America,08/31/13,A,37,269,281
No,Development,South America,09/30/13,A,37,306,278
No,Development,South America,10/31/13,A,32,338,283
No,Development,South America,11/30/13,A,29,367,283
No,Development,South America,12/31/13,A,20,387,283
No,Development,Asia,01/31/10,A,19,19,209
No,Development,Asia,02/28/10,A,21,40,200
No,Development,Asia,03/31/10,A,23,63,200
No,Development,Asia,04/30/10,A,33,96,205
No,Development,Asia,05/31/10,A,30,126,200
No,Development,Asia,06/30/10,A,34,160,182
No,Development,Asia,07/31/10,A,38,198,179
No,Development,Asia,08/31/10,A,21,219,129
No,Development,Asia,09/30/10,A,20,239,122
No,Development,Asia,10/31/10,A,17,256,124
No,Development,Asia,11/30/10,A,16,272,127
No,Development,Asia,12/31/10,A,11,283,122
No,Development,Asia,01/31/11,A,18,18,212
No,Development,Asia,02/28/11,A,21,39,221
No,Development,Asia,03/31/11,A,23,62,214
No,Development,Asia,04/30/11,A,29,91,191
No,Development,Asia,05/31/11,A,28,119,196
No,Development,Asia,06/30/11,A,34,153,193
No,Development,Asia,07/31/11,A,38,191,191
No,Development,Asia,08/31/11,A,26,217,168
No,Development,Asia,09/30/11,A,26,243,168
No,Development,Asia,10/31/11,A,21,264,161
No,Development,Asia,11/30/11,A,19,283,159
No,Development,Asia,12/31/11,A,14,297,161
No,Development,Asia,01/31/12,A,20,20,154
No,Development,Asia,02/28/12,A,20,40,143
No,Development,Asia,03/31/12,A,36,76,230
No,Development,Asia,04/30/12,A,79,155,359
No,Development,Asia,05/31/12,A,73,228,357
No,Development,Asia,06/30/12,A,90,318,357
No,Development,Asia,07/31/12,A,120,438,423
No,Development,Asia,08/31/12,A,97,535,442
No,Development,Asia,09/30/12,A,102,637,465
No,Development,Asia,10/31/12,A,87,724,462
No,Development,Asia,11/30/12,A,80,804,465
No,Development,Asia,12/31/12,A,57,861,453
No,Development,Asia,01/31/13,A,31,31,439
No,Development,Asia,02/28/13,A,35,66,435
No,Development,Asia,03/31/13,A,39,105,423
No,Development,Asia,04/30/13,A,55,160,421
No,Development,Asia,05/31/13,A,50,210,414
No,Development,Asia,06/30/13,A,61,271,405
No,Development,Asia,07/31/13,A,69,340,405
No,Development,Asia,08/31/13,A,54,394,409
No,Development,Asia,09/30/13,A,53,447,403
No,Development,Asia,10/31/13,A,44,491,393
No,Development,Asia,11/30/13,A,40,531,391
No,Development,Asia,12/31/13,A,28,559,386
No,Development,Europe,01/31/10,A,7,7,71
No,Development,Europe,02/28/10,A,8,15,71
No,Development,Europe,03/31/10,A,8,23,64
No,Development,Europe,04/30/10,A,12,35,69
No,Development,Europe,05/31/10,A,10,45,67
No,Development,Europe,06/30/10,A,14,59,74
No,Development,Europe,07/31/10,A,16,75,74
No,Development,Europe,08/31/10,A,12,87,71
No,Development,Europe,09/30/10,A,12,99,71
No,Development,Europe,10/31/10,A,9,108,64
No,Development,Europe,11/30/10,A,7,115,53
No,Development,Europe,12/31/10,A,6,121,58
No,Development,Europe,01/31/11,A,5,5,53
No,Development,Europe,02/28/11,A,5,10,51
No,Development,Europe,03/31/11,A,6,16,48
No,Development,Europe,04/30/11,A,8,24,51
No,Development,Europe,05/31/11,A,7,31,46
No,Development,Europe,06/30/11,A,8,39,41
No,Development,Europe,07/31/11,A,9,48,44
No,Development,Europe,08/31/11,A,7,55,41
No,Development,Europe,09/30/11,A,7,62,41
No,Development,Europe,10/31/11,A,6,68,39
No,Development,Europe,11/30/11,A,5,73,41
No,Development,Europe,12/31/11,A,4,77,41
No,Development,Europe,01/31/12,A,6,6,46
No,Development,Europe,02/28/12,A,6,12,41
No,Development,Europe,03/31/12,A,7,19,39
No,Development,Europe,04/30/12,A,10,29,41
No,Development,Europe,05/31/12,A,8,37,39
No,Development,Europe,06/30/12,A,10,47,39
No,Development,Europe,07/31/12,A,15,62,53
No,Development,Europe,08/31/12,A,16,78,69
No,Development,Europe,09/30/12,A,16,94,69
No,Development,Europe,10/31/12,A,14,108,71
No,Development,Europe,11/30/12,A,13,121,71
No,Development,Europe,12/31/12,A,9,130,69
No,Distributio,Africa,01/31/13,A,22,22,313
No,Distributio,Africa,02/28/13,A,23,45,283
No,Distributio,Africa,03/31/13,A,23,68,255
No,Distributio,Africa,04/30/13,A,31,99,237
No,Distributio,Africa,05/31/13,A,29,128,237
No,Distributio,Africa,06/30/13,A,35,163,230
No,Distributio,Africa,07/31/13,A,35,198,200
No,Distributio,Africa,08/31/13,A,25,223,189
No,Distributio,Africa,09/30/13,A,24,247,182
No,Distributio,Africa,10/31/13,A,19,266,168
No,Distributio,Africa,11/30/13,A,18,284,170
No,Distributio,Africa,12/31/13,A,13,297,177
No,Distributio,North America,01/31/10,A,59,59,662
No,Distributio,North America,02/28/10,A,64,123,630
No,Distributio,North America,03/31/10,A,70,193,623
No,Distributio,North America,04/30/10,A,101,294,626
No,Distributio,North America,05/31/10,A,92,386,619
No,Distributio,North America,06/30/10,A,114,500,619
No,Distributio,North America,07/31/10,A,130,630,621
No,Distributio,North America,08/31/10,A,101,731,630
No,Distributio,North America,09/30/10,A,104,835,646
No,Distributio,North America,10/31/10,A,87,922,639
No,Distributio,North America,11/30/10,A,80,1002,639
No,Distributio,North America,12/31/10,A,56,1058,633
No,Distributio,North America,01/31/11,A,42,42,501
No,Distributio,North America,02/28/11,A,46,88,485
No,Distributio,North America,03/31/11,A,51,139,476
No,Distributio,North America,04/30/11,A,73,212,478
No,Distributio,North America,05/31/11,A,63,275,446
No,Distributio,North America,06/30/11,A,74,349,426
No,Distributio,North America,07/31/11,A,79,428,398
No,Distributio,North America,08/31/11,A,60,488,391
No,Distributio,North America,09/30/11,A,58,546,384
No,Distributio,North America,10/31/11,A,51,597,391
No,Distributio,North America,11/30/11,A,46,643,391
No,Distributio,North America,12/31/11,A,33,676,396
No,Distributio,North America,01/31/12,A,45,45,363
No,Distributio,North America,02/28/12,A,49,94,347
No,Distributio,North America,03/31/12,A,53,147,340
No,Distributio,North America,04/30/12,A,72,219,327
No,Distributio,North America,05/31/12,A,68,287,331
No,Distributio,North America,06/30/12,A,76,363,299
No,Distributio,North America,07/31/12,A,85,448,297
No,Distributio,North America,08/31/12,A,62,510,278
No,Distributio,North America,09/30/12,A,59,569,265
No,Distributio,North America,10/31/12,A,48,617,253
No,Distributio,North America,11/30/12,A,40,657,230
No,Distributio,North America,12/31/12,A,28,685,223
No,Distributio,North America,01/31/13,A,13,13,175
No,Distributio,North America,02/28/13,A,12,25,143
No,Distributio,North America,03/31/13,A,12,37,124
No,Distributio,North America,04/30/13,A,12,49,92
No,Distributio,North America,05/31/13,A,10,59,81
No,Distributio,North America,06/30/13,A,12,71,74
No,Distributio,North America,07/31/13,A,9,80,53
No,Distributio,North America,08/31/13,A,6,86,39
No,Distributio,North America,09/30/13,A,4,90,30
No,Distributio,North America,10/31/13,A,3,93,23
No,Distributio,North America,11/30/13,A,3,96,28
No,Distributio,North America,12/31/13,A,2,98,28
No,Distributio,South America,01/31/10,A,1,1,7
No,Distributio,South America,02/28/10,A,1,2,7
No,Distributio,South America,03/31/10,A,1,3,7
No,Distributio,South America,04/30/10,A,2,5,9
No,Distributio,South America,05/31/10,A,2,7,9
No,Distributio,South America,06/30/10,A,2,9,9
No,Distributio,South America,07/31/10,A,3,12,12
No,Distributio,South America,08/31/10,A,2,14,12
No,Distributio,South America,09/30/10,A,2,16,12
No,Distributio,South America,10/31/10,A,2,18,12
No,Distributio,South America,11/30/10,A,2,20,12
No,Distributio,South America,12/31/10,A,2,22,12
No,Distributio,South America,01/31/11,A,2,2,16
No,Distributio,South America,02/28/11,A,2,4,18
No,Distributio,South America,03/31/11,A,2,6,18
No,Distributio,South America,04/30/11,A,4,10,21
No,Distributio,South America,05/31/11,A,3,13,21
No,Distributio,South America,06/30/11,A,4,17,21
No,Distributio,South America,07/31/11,A,6,23,30
No,Distributio,South America,08/31/11,A,6,29,35
No,Distributio,South America,09/30/11,A,6,35,37
No,Distributio,South America,10/31/11,A,5,40,37
No,Distributio,South America,11/30/11,A,5,45,35
No,Distributio,South America,12/31/11,A,3,48,35
No,Distributio,South America,01/31/12,A,5,5,37
No,Distributio,South America,02/28/12,A,6,11,37
No,Distributio,South America,03/31/12,A,6,17,37
No,Distributio,South America,04/30/12,A,14,31,62
No,Distributio,South America,05/31/12,A,12,43,58
No,Distributio,South America,06/30/12,A,15,58,58
No,Distributio,South America,07/31/12,A,19,77,64
No,Distributio,South America,08/31/12,A,12,89,51
No,Distributio,South America,09/30/12,A,11,100,46
No,Distributio,South America,10/31/12,A,8,108,39
No,Distributio,South America,11/30/12,A,7,115,37
No,Distributio,South America,12/31/12,A,5,120,37
No,Distributio,South America,01/31/13,A,3,3,37
No,Distributio,South America,02/28/13,A,3,6,30
No,Distributio,South America,03/31/13,A,3,9,28
No,Distributio,South America,04/30/13,A,4,13,25
No,Distributio,South America,05/31/13,A,4,17,25
No,Distributio,South America,06/30/13,A,4,21,25
No,Distributio,South America,07/31/13,A,2,23,7
No,Distributio,South America,08/31/13,A,1,24,5
No,Distributio,South America,09/30/13,A,1,25,5
No,Distributio,South America,10/31/13,A,1,26,5
No,Distributio,South America,11/30/13,A,1,27,5
No,Distributio,South America,12/31/13,A,1,28,5
No,Distributio,Asia,01/31/10,A,48,48,538
No,Distributio,Asia,02/28/10,A,54,102,536
No,Distributio,Asia,03/31/10,A,60,162,534
No,Distributio,Asia,04/30/10,A,84,246,524
No,Distributio,Asia,05/31/10,A,78,324,524
No,Distributio,Asia,06/30/10,A,100,424,538
No,Distributio,Asia,07/31/10,A,111,535,531
No,Distributio,Asia,08/31/10,A,83,618,518
No,Distributio,Asia,09/30/10,A,83,701,515
No,Distributio,Asia,10/31/10,A,69,770,501
No,Distributio,Asia,11/30/10,A,62,832,495
No,Distributio,Asia,12/31/10,A,43,875,481
No,Distributio,Asia,01/31/11,A,29,29,343
No,Distributio,Asia,02/28/11,A,33,62,345
No,Distributio,Asia,03/31/11,A,35,97,331
No,Distributio,Asia,04/30/11,A,50,147,329
No,Distributio,Asia,05/31/11,A,41,188,290
No,Distributio,Asia,06/30/11,A,50,238,288
No,Distributio,Asia,07/31/11,A,54,292,271
No,Distributio,Asia,08/31/11,A,41,333,267
No,Distributio,Asia,09/30/11,A,40,373,262
No,Distributio,Asia,10/31/11,A,34,407,262
No,Distributio,Asia,11/30/11,A,31,438,260
No,Distributio,Asia,12/31/11,A,21,459,253
No,Distributio,Asia,01/31/12,A,31,31,244
No,Distributio,Asia,02/28/12,A,31,62,221
No,Distributio,Asia,03/31/12,A,31,93,198
No,Distributio,Asia,04/30/12,A,35,128,159
No,Distributio,Asia,05/31/12,A,33,161,161
No,Distributio,Asia,06/30/12,A,36,197,143
No,Distributio,Asia,07/31/12,A,38,235,133
No,Distributio,Asia,08/31/12,A,29,264,131
No,Distributio,Asia,09/30/12,A,29,293,131
No,Distributio,Asia,10/31/12,A,23,316,122
No,Distributio,Asia,11/30/12,A,21,337,117
No,Distributio,Asia,12/31/12,A,14,351,106
No,Distributio,Asia,01/31/13,A,12,12,170
No,Distributio,Asia,02/28/13,A,12,24,147
No,Distributio,Asia,03/31/13,A,12,36,124
No,Distributio,Asia,04/30/13,A,16,52,117
No,Distributio,Asia,05/31/13,A,15,67,122
No,Distributio,Asia,06/30/13,A,19,86,122
No,Distributio,Asia,07/31/13,A,18,104,101
No,Distributio,Asia,08/31/13,A,13,117,97
No,Distributio,Asia,09/30/13,A,12,129,92
No,Distributio,Asia,10/31/13,A,10,139,85
No,Distributio,Asia,11/30/13,A,9,148,83
No,Distributio,Asia,12/31/13,A,6,154,85
No,Distributio,Europe,01/31/10,A,35,35,393
No,Distributio,Europe,02/28/10,A,40,75,396
No,Distributio,Europe,03/31/10,A,45,120,393
No,Distributio,Europe,04/30/10,A,61,181,377
No,Distributio,Europe,05/31/10,A,57,238,382
No,Distributio,Europe,06/30/10,A,70,308,377
No,Distributio,Europe,07/31/10,A,82,390,391
No,Distributio,Europe,08/31/10,A,63,453,391
No,Distributio,Europe,09/30/10,A,63,516,393
No,Distributio,Europe,10/31/10,A,55,571,403
No,Distributio,Europe,11/30/10,A,53,624,423
No,Distributio,Europe,12/31/10,A,38,662,421
No,Distributio,Europe,01/31/11,A,27,27,324
No,Distributio,Europe,02/28/11,A,30,57,313
No,Distributio,Europe,03/31/11,A,33,90,306
No,Distributio,Europe,04/30/11,A,46,136,299
No,Distributio,Europe,05/31/11,A,43,179,306
No,Distributio,Europe,06/30/11,A,53,232,304
No,Distributio,Europe,07/31/11,A,55,287,276
No,Distributio,Europe,08/31/11,A,41,328,269
No,Distributio,Europe,09/30/11,A,40,368,262
No,Distributio,Europe,10/31/11,A,33,401,251
No,Distributio,Europe,11/30/11,A,30,431,251
No,Distributio,Europe,12/31/11,A,21,452,244
No,Distributio,Europe,01/31/12,A,30,30,235
No,Distributio,Europe,02/28/12,A,31,61,219
No,Distributio,Europe,03/31/12,A,31,92,196
No,Distributio,Europe,04/30/12,A,40,132,179
No,Distributio,Europe,05/31/12,A,33,165,159
No,Distributio,Europe,06/30/12,A,40,205,159
No,Distributio,Europe,07/31/12,A,43,248,152
No,Distributio,Europe,08/31/12,A,30,278,136
No,Distributio,Europe,09/30/12,A,28,306,127
No,Distributio,Europe,10/31/12,A,24,330,124
No,Distributio,Europe,11/30/12,A,23,353,133
No,Distributio,Europe,12/31/12,A,16,369,124
No,Human Resou,Africa,01/31/13,A,1,1,9
No,Human Resou,Africa,02/28/13,A,1,2,7
No,Human Resou,Africa,03/31/13,A,1,3,7
No,Human Resou,Africa,04/30/13,A,1,4,7
No,Human Resou,Africa,05/31/13,A,1,5,5
No,Human Resou,Africa,06/30/13,A,1,6,5
No,Human Resou,Africa,07/31/13,A,1,7,5
No,Human Resou,Africa,08/31/13,A,1,8,5
No,Human Resou,Africa,09/30/13,A,1,9,2
No,Human Resou,Africa,10/31/13,A,1,10,2
No,Human Resou,Africa,11/30/13,A,1,11,2
No,Human Resou,Africa,12/31/13,A,1,12,2
No,Human Resou,North America,01/31/10,A,2,2,18
No,Human Resou,North America,02/28/10,A,3,5,25
No,Human Resou,North America,03/31/10,A,3,8,23
No,Human Resou,North America,04/30/10,A,7,15,44
No,Human Resou,North America,05/31/10,A,7,22,46
No,Human Resou,North America,06/30/10,A,10,32,53
No,Human Resou,North America,07/31/10,A,13,45,62
No,Human Resou,North America,08/31/10,A,10,55,62
No,Human Resou,North America,09/30/10,A,11,66,64
No,Human Resou,North America,10/31/10,A,8,74,55
No,Human Resou,North America,11/30/10,A,8,82,60
No,Human Resou,North America,12/31/10,A,6,88,62
No,Human Resou,North America,01/31/11,A,8,8,97
No,Human Resou,North America,02/28/11,A,9,17,94
No,Human Resou,North America,03/31/11,A,11,28,97
No,Human Resou,North America,04/30/11,A,15,43,99
No,Human Resou,North America,05/31/11,A,16,59,110
No,Human Resou,North America,06/30/11,A,20,79,113
No,Human Resou,North America,07/31/11,A,23,102,113
No,Human Resou,North America,08/31/11,A,17,119,108
No,Human Resou,North America,09/30/11,A,18,137,113
No,Human Resou,North America,10/31/11,A,15,152,113
No,Human Resou,North America,11/30/11,A,13,165,106
No,Human Resou,North America,12/31/11,A,9,174,106
No,Human Resou,North America,01/31/12,A,14,14,113
No,Human Resou,North America,02/28/12,A,15,29,104
No,Human Resou,North America,03/31/12,A,17,46,108
No,Human Resou,North America,04/30/12,A,23,69,101
No,Human Resou,North America,05/31/12,A,22,91,108
No,Human Resou,North America,06/30/12,A,28,119,108
No,Human Resou,North America,07/31/12,A,25,144,85
No,Human Resou,North America,08/31/12,A,18,162,81
No,Human Resou,North America,09/30/12,A,17,179,76
